IP Address ,Browser,Ip Time Zone,FingerPrint Authenticity,Platform,Location,Language,Postal_Code,ISP,Proxy,Bot Detection
********,Huawei Browser 12.1.3.304,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  95%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Mobile Safari 15.6.1,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 15.6.1,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 15.6.1,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 81.0.4044.138,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 4.4.2,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 4.4.2,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,GSA 237.1.487000117,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 16.1,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 16.1,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Facebook 391.1.0.37.104,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 12,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 12,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 12,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 12,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome WebView 107.0.5304.105,Europe/Istanbul,Browser fingerprint authenticity:  82%,Android 12,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 12,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 12,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 12,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Facebook 390.1.0.38.101,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 15.6.1,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 15.6.1,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 11,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 11,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 9,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 9,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 11,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 11,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 11,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 11,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Facebook 355.0.0.21.108,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 9,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 9,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 96.0.4664.45,Europe/Istanbul,Browser fingerprint authenticity:  85%,Linux undefined,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Linux undefined,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 106.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 11,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 11,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Mobile Safari 15.6.1,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 15.6.1,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 15.6.1,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Facebook 386.0.0.35.108,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  95%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Samsung Internet 19.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 11,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 11,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  87%,Android 11,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 11,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  95%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 11,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 11,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 11,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 11,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 12,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 12,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Edge 107.0.1418.42,Europe/Istanbul,Browser fingerprint authenticity:  92%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  95%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Mobile Safari 15.6.1,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 15.6.1,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 15.6.1,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  95%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,undefined undefined,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 12.5.6,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 12.5.6,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Mobile Safari 15.6.1,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 15.6.1,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 15.6.1,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 11,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 11,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Mobile Safari 15.6.1,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 15.6.1,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 15.6.1,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Firefox 106.0,Europe/Istanbul,Browser fingerprint authenticity:  90%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 12,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 12,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Mobile Safari 15.3,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 15.3.1,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 15.3.1,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
